year,dimension_type,dimension_value,direction,value
2000,age,1-Jährige,emigration,2081
2000,age,1-Jährige,immigration,3296
2000,age,10-Jährige,emigration,1134
2000,age,10-Jährige,immigration,2733
2000,age,11-Jährige,emigration,1076
2000,age,11-Jährige,immigration,2702
2000,age,12-Jährige,emigration,955
2000,age,12-Jährige,immigration,2782
2000,age,13-Jährige,emigration,937
2000,age,13-Jährige,immigration,3007
2000,age,14-Jährige,emigration,788
2000,age,14-Jährige,immigration,2838
2000,age,15-Jährige,emigration,864
2000,age,15-Jährige,immigration,2850
2000,age,16-Jährige,emigration,969
2000,age,16-Jährige,immigration,2923
2000,age,17-Jährige,emigration,1105
2000,age,17-Jährige,immigration,2937
2000,age,18-Jährige,emigration,1113
2000,age,18-Jährige,immigration,3650
2000,age,19-Jährige,emigration,1405
2000,age,19-Jährige,immigration,3968
2000,age,2-Jährige,emigration,1483
2000,age,2-Jährige,immigration,2781
2000,age,20-Jährige,emigration,1729
2000,age,20-Jährige,immigration,4204
2000,age,21-Jährige,emigration,1938
2000,age,21-Jährige,immigration,4092
2000,age,22-Jährige,emigration,2065
2000,age,22-Jährige,immigration,4004
2000,age,23-Jährige,emigration,2348
2000,age,23-Jährige,immigration,3936
2000,age,24-Jährige,emigration,2344
2000,age,24-Jährige,immigration,4040
2000,age,25-Jährige,emigration,2417
2000,age,25-Jährige,immigration,3735
2000,age,26-Jährige,emigration,2583
2000,age,26-Jährige,immigration,3480
2000,age,27-Jährige,emigration,2554
2000,age,27-Jährige,immigration,3439
2000,age,28-Jährige,emigration,2832
2000,age,28-Jährige,immigration,3362
2000,age,29-Jährige,emigration,3113
2000,age,29-Jährige,immigration,3434
2000,age,3-Jährige,emigration,1562
2000,age,3-Jährige,immigration,2609
2000,age,30-Jährige,emigration,3167
2000,age,30-Jährige,immigration,3362
2000,age,31-Jährige,emigration,3221
2000,age,31-Jährige,immigration,3404
2000,age,32-Jährige,emigration,3393
2000,age,32-Jährige,immigration,3465
2000,age,33-Jährige,emigration,3296
2000,age,33-Jährige,immigration,3601
2000,age,34-Jährige,emigration,3167
2000,age,34-Jährige,immigration,3673
2000,age,35-Jährige,emigration,3087
2000,age,35-Jährige,immigration,3609
2000,age,36-Jährige,emigration,2845
2000,age,36-Jährige,immigration,3653
2000,age,37-Jährige,emigration,2770
2000,age,37-Jährige,immigration,3772
2000,age,38-Jährige,emigration,2529
2000,age,38-Jährige,immigration,3677
2000,age,39-Jährige,emigration,2441
2000,age,39-Jährige,immigration,3630
2000,age,4-Jährige,emigration,1488
2000,age,4-Jährige,immigration,2469
2000,age,40-Jährige,emigration,2115
2000,age,40-Jährige,immigration,3545
2000,age,41-Jährige,emigration,2050
2000,age,41-Jährige,immigration,3523
2000,age,42-Jährige,emigration,1813
2000,age,42-Jährige,immigration,3240
2000,age,43-Jährige,emigration,1694
2000,age,43-Jährige,immigration,3078
2000,age,44-Jährige,emigration,1614
2000,age,44-Jährige,immigration,2940
2000,age,45-Jährige,emigration,1415
2000,age,45-Jährige,immigration,2880
2000,age,46-Jährige,emigration,1399
2000,age,46-Jährige,immigration,2721
2000,age,47-Jährige,emigration,1355
2000,age,47-Jährige,immigration,2522
2000,age,48-Jährige,emigration,1287
2000,age,48-Jährige,immigration,2513
2000,age,49-Jährige,emigration,1168
2000,age,49-Jährige,immigration,2359
2000,age,5-Jährige,emigration,1402
2000,age,5-Jährige,immigration,2510
2000,age,50-Jährige,emigration,1156
2000,age,50-Jährige,immigration,2326
2000,age,51-Jährige,emigration,1102
2000,age,51-Jährige,immigration,2128
2000,age,52-Jährige,emigration,1035
2000,age,52-Jährige,immigration,1812
2000,age,53-Jährige,emigration,909
2000,age,53-Jährige,immigration,1600
2000,age,54-Jährige,emigration,759
2000,age,54-Jährige,immigration,1203
2000,age,55-Jährige,emigration,651
2000,age,55-Jährige,immigration,885
2000,age,56-Jährige,emigration,821
2000,age,56-Jährige,immigration,1009
2000,age,57-Jährige,emigration,776
2000,age,57-Jährige,immigration,1113
2000,age,58-Jährige,emigration,809
2000,age,58-Jährige,immigration,1279
2000,age,59-Jährige,emigration,847
2000,age,59-Jährige,immigration,1529
2000,age,6-Jährige,emigration,1588
2000,age,6-Jährige,immigration,2604
2000,age,60-Jährige,emigration,957
2000,age,60-Jährige,immigration,1628
2000,age,61-Jährige,emigration,850
2000,age,61-Jährige,immigration,1599
2000,age,62-Jährige,emigration,747
2000,age,62-Jährige,immigration,1472
2000,age,63-Jährige,emigration,632
2000,age,63-Jährige,immigration,1479
2000,age,64-Jährige,emigration,525
2000,age,64-Jährige,immigration,1200
2000,age,65-Jährige,emigration,506
2000,age,65-Jährige,immigration,1163
2000,age,66-Jährige,emigration,405
2000,age,66-Jährige,immigration,804
2000,age,67-Jährige,emigration,280
2000,age,67-Jährige,immigration,667
2000,age,68-Jährige,emigration,271
2000,age,68-Jährige,immigration,670
2000,age,69-Jährige,emigration,242
2000,age,69-Jährige,immigration,627
2000,age,7-Jährige,emigration,1573
2000,age,7-Jährige,immigration,2470
2000,age,70-Jährige,emigration,301
2000,age,70-Jährige,immigration,708
2000,age,71-Jährige,emigration,218
2000,age,71-Jährige,immigration,663
2000,age,72-Jährige,emigration,244
2000,age,72-Jährige,immigration,641
2000,age,73-Jährige,emigration,214
2000,age,73-Jährige,immigration,565
2000,age,74-Jährige,emigration,186
2000,age,74-Jährige,immigration,521
2000,age,75-Jährige,emigration,168
2000,age,75-Jährige,immigration,460
2000,age,76-Jährige,emigration,160
2000,age,76-Jährige,immigration,384
2000,age,77-Jährige,emigration,125
2000,age,77-Jährige,immigration,337
2000,age,78-Jährige,emigration,126
2000,age,78-Jährige,immigration,218
2000,age,79-Jährige,emigration,132
2000,age,79-Jährige,immigration,187
2000,age,8-Jährige,emigration,1190
2000,age,8-Jährige,immigration,2597
2000,age,80-Jährige,emigration,115
2000,age,80-Jährige,immigration,197
2000,age,81-Jährige,emigration,98
2000,age,81-Jährige,immigration,180
2000,age,82-Jährige,emigration,74
2000,age,82-Jährige,immigration,150
2000,age,83-Jährige,emigration,50
2000,age,83-Jährige,immigration,66
2000,age,84-Jährige,emigration,63
2000,age,84-Jährige,immigration,100
2000,age,85-Jährige,emigration,67
2000,age,85-Jährige,immigration,74
2000,age,86-Jährige,emigration,69
2000,age,86-Jährige,immigration,104
2000,age,87-Jährige,emigration,71
2000,age,87-Jährige,immigration,86
2000,age,88-Jährige,emigration,69
2000,age,88-Jährige,immigration,72
2000,age,89-Jährige,emigration,42
2000,age,89-Jährige,immigration,55
2000,age,9-Jährige,emigration,1180
2000,age,9-Jährige,immigration,2548
2000,age,90-Jährige,emigration,41
2000,age,90-Jährige,immigration,40
2000,age,91-Jährige,emigration,28
2000,age,91-Jährige,immigration,32
2000,age,92-Jährige,emigration,31
2000,age,92-Jährige,immigration,35
2000,age,93-Jährige,emigration,15
2000,age,93-Jährige,immigration,25
2000,age,94-Jährige,emigration,8
2000,age,94-Jährige,immigration,14
2000,age,95 Jahre und mehr,emigration,26
2000,age,95 Jahre und mehr,immigration,39
2000,age,unter 1 Jahr,emigration,581
2000,age,unter 1 Jahr,immigration,2596
2001,age,1-Jährige,emigration,1442
2001,age,1-Jährige,immigration,3416
2001,age,10-Jährige,emigration,1082
2001,age,10-Jährige,immigration,2604
2001,age,11-Jährige,emigration,991
2001,age,11-Jährige,immigration,2711
2001,age,12-Jährige,emigration,886
2001,age,12-Jährige,immigration,2751
2001,age,13-Jährige,emigration,847
2001,age,13-Jährige,immigration,2800
2001,age,14-Jährige,emigration,810
2001,age,14-Jährige,immigration,2864
2001,age,15-Jährige,emigration,768
2001,age,15-Jährige,immigration,2865
2001,age,16-Jährige,emigration,830
2001,age,16-Jährige,immigration,2911
2001,age,17-Jährige,emigration,1008
2001,age,17-Jährige,immigration,3078
2001,age,18-Jährige,emigration,1145
2001,age,18-Jährige,immigration,3811
2001,age,19-Jährige,emigration,1475
2001,age,19-Jährige,immigration,4359
2001,age,2-Jährige,emigration,1413
2001,age,2-Jährige,immigration,2820
2001,age,20-Jährige,emigration,1854
2001,age,20-Jährige,immigration,4284
2001,age,21-Jährige,emigration,2105
2001,age,21-Jährige,immigration,4306
2001,age,22-Jährige,emigration,2268
2001,age,22-Jährige,immigration,4077
2001,age,23-Jährige,emigration,2412
2001,age,23-Jährige,immigration,3992
2001,age,24-Jährige,emigration,2557
2001,age,24-Jährige,immigration,4046
2001,age,25-Jährige,emigration,2560
2001,age,25-Jährige,immigration,3851
2001,age,26-Jährige,emigration,2683
2001,age,26-Jährige,immigration,3820
2001,age,27-Jährige,emigration,2692
2001,age,27-Jährige,immigration,3500
2001,age,28-Jährige,emigration,2661
2001,age,28-Jährige,immigration,3293
2001,age,29-Jährige,emigration,2855
2001,age,29-Jährige,immigration,3410
2001,age,3-Jährige,emigration,1479
2001,age,3-Jährige,immigration,2773
2001,age,30-Jährige,emigration,3131
2001,age,30-Jährige,immigration,3361
2001,age,31-Jährige,emigration,3107
2001,age,31-Jährige,immigration,3370
2001,age,32-Jährige,emigration,3067
2001,age,32-Jährige,immigration,3325
2001,age,33-Jährige,emigration,3047
2001,age,33-Jährige,immigration,3452
2001,age,34-Jährige,emigration,3149
2001,age,34-Jährige,immigration,3638
2001,age,35-Jährige,emigration,3043
2001,age,35-Jährige,immigration,3584
2001,age,36-Jährige,emigration,2962
2001,age,36-Jährige,immigration,3436
2001,age,37-Jährige,emigration,2952
2001,age,37-Jährige,immigration,3673
2001,age,38-Jährige,emigration,2629
2001,age,38-Jährige,immigration,3619
2001,age,39-Jährige,emigration,2482
2001,age,39-Jährige,immigration,3591
2001,age,4-Jährige,emigration,1402
2001,age,4-Jährige,immigration,2621
2001,age,40-Jährige,emigration,2296
2001,age,40-Jährige,immigration,3527
2001,age,41-Jährige,emigration,2127
2001,age,41-Jährige,immigration,3584
2001,age,42-Jährige,emigration,2052
2001,age,42-Jährige,immigration,3356
2001,age,43-Jährige,emigration,1744
2001,age,43-Jährige,immigration,3128
2001,age,44-Jährige,emigration,1608
2001,age,44-Jährige,immigration,2974
2001,age,45-Jährige,emigration,1496
2001,age,45-Jährige,immigration,2826
2001,age,46-Jährige,emigration,1388
2001,age,46-Jährige,immigration,2760
2001,age,47-Jährige,emigration,1288
2001,age,47-Jährige,immigration,2678
2001,age,48-Jährige,emigration,1262
2001,age,48-Jährige,immigration,2487
2001,age,49-Jährige,emigration,1133
2001,age,49-Jährige,immigration,2438
2001,age,5-Jährige,emigration,1370
2001,age,5-Jährige,immigration,2486
2001,age,50-Jährige,emigration,1111
2001,age,50-Jährige,immigration,2443
2001,age,51-Jährige,emigration,1071
2001,age,51-Jährige,immigration,2203
2001,age,52-Jährige,emigration,985
2001,age,52-Jährige,immigration,2134
2001,age,53-Jährige,emigration,886
2001,age,53-Jährige,immigration,1796
2001,age,54-Jährige,emigration,837
2001,age,54-Jährige,immigration,1569
2001,age,55-Jährige,emigration,698
2001,age,55-Jährige,immigration,1185
2001,age,56-Jährige,emigration,640
2001,age,56-Jährige,immigration,949
2001,age,57-Jährige,emigration,781
2001,age,57-Jährige,immigration,1051
2001,age,58-Jährige,emigration,722
2001,age,58-Jährige,immigration,1076
2001,age,59-Jährige,emigration,644
2001,age,59-Jährige,immigration,1182
2001,age,6-Jährige,emigration,1578
2001,age,6-Jährige,immigration,2566
2001,age,60-Jährige,emigration,906
2001,age,60-Jährige,immigration,1571
2001,age,61-Jährige,emigration,851
2001,age,61-Jährige,immigration,1512
2001,age,62-Jährige,emigration,718
2001,age,62-Jährige,immigration,1513
2001,age,63-Jährige,emigration,670
2001,age,63-Jährige,immigration,1549
2001,age,64-Jährige,emigration,536
2001,age,64-Jährige,immigration,1327
2001,age,65-Jährige,emigration,509
2001,age,65-Jährige,immigration,1285
2001,age,66-Jährige,emigration,388
2001,age,66-Jährige,immigration,1042
2001,age,67-Jährige,emigration,316
2001,age,67-Jährige,immigration,733
2001,age,68-Jährige,emigration,221
2001,age,68-Jährige,immigration,577
2001,age,69-Jährige,emigration,211
2001,age,69-Jährige,immigration,626
2001,age,7-Jährige,emigration,1517
2001,age,7-Jährige,immigration,2575
2001,age,70-Jährige,emigration,185
2001,age,70-Jährige,immigration,676
2001,age,71-Jährige,emigration,237
2001,age,71-Jährige,immigration,655
2001,age,72-Jährige,emigration,193
2001,age,72-Jährige,immigration,592
2001,age,73-Jährige,emigration,175
2001,age,73-Jährige,immigration,577
2001,age,74-Jährige,emigration,171
2001,age,74-Jährige,immigration,504
2001,age,75-Jährige,emigration,157
2001,age,75-Jährige,immigration,488
2001,age,76-Jährige,emigration,163
2001,age,76-Jährige,immigration,373
2001,age,77-Jährige,emigration,107
2001,age,77-Jährige,immigration,288
2001,age,78-Jährige,emigration,148
2001,age,78-Jährige,immigration,244
2001,age,79-Jährige,emigration,109
2001,age,79-Jährige,immigration,175
2001,age,8-Jährige,emigration,1127
2001,age,8-Jährige,immigration,2528
2001,age,80-Jährige,emigration,114
2001,age,80-Jährige,immigration,166
2001,age,81-Jährige,emigration,123
2001,age,81-Jährige,immigration,156
2001,age,82-Jährige,emigration,54
2001,age,82-Jährige,immigration,115
2001,age,83-Jährige,emigration,62
2001,age,83-Jährige,immigration,84
2001,age,84-Jährige,emigration,38
2001,age,84-Jährige,immigration,49
2001,age,85-Jährige,emigration,45
2001,age,85-Jährige,immigration,52
2001,age,86-Jährige,emigration,45
2001,age,86-Jährige,immigration,72
2001,age,87-Jährige,emigration,51
2001,age,87-Jährige,immigration,87
2001,age,88-Jährige,emigration,55
2001,age,88-Jährige,immigration,65
2001,age,89-Jährige,emigration,56
2001,age,89-Jährige,immigration,65
2001,age,9-Jährige,emigration,1082
2001,age,9-Jährige,immigration,2542
2001,age,90-Jährige,emigration,40
2001,age,90-Jährige,immigration,45
2001,age,91-Jährige,emigration,27
2001,age,91-Jährige,immigration,19
2001,age,92-Jährige,emigration,24
2001,age,92-Jährige,immigration,21
2001,age,93-Jährige,emigration,13
2001,age,93-Jährige,immigration,22
2001,age,94-Jährige,emigration,10
2001,age,94-Jährige,immigration,16
2001,age,95 Jahre und mehr,emigration,29
2001,age,95 Jahre und mehr,immigration,41
2001,age,unter 1 Jahr,emigration,513
2001,age,unter 1 Jahr,immigration,2521
2002,age,1-Jährige,emigration,1521
2002,age,1-Jährige,immigration,3382
2002,age,10-Jährige,emigration,1162
2002,age,10-Jährige,immigration,2434
2002,age,11-Jährige,emigration,975
2002,age,11-Jährige,immigration,2494
2002,age,12-Jährige,emigration,1069
2002,age,12-Jährige,immigration,2443
2002,age,13-Jährige,emigration,980
2002,age,13-Jährige,immigration,2519
2002,age,14-Jährige,emigration,938
2002,age,14-Jährige,immigration,2595
2002,age,15-Jährige,emigration,897
2002,age,15-Jährige,immigration,2562
2002,age,16-Jährige,emigration,859
2002,age,16-Jährige,immigration,2682
2002,age,17-Jährige,emigration,1155
2002,age,17-Jährige,immigration,2814
2002,age,18-Jährige,emigration,1147
2002,age,18-Jährige,immigration,3537
2002,age,19-Jährige,emigration,1649
2002,age,19-Jährige,immigration,4094
2002,age,2-Jährige,emigration,1677
2002,age,2-Jährige,immigration,2999
2002,age,20-Jährige,emigration,1884
2002,age,20-Jährige,immigration,4030
2002,age,21-Jährige,emigration,2265
2002,age,21-Jährige,immigration,4053
2002,age,22-Jährige,emigration,2643
2002,age,22-Jährige,immigration,3960
2002,age,23-Jährige,emigration,2698
2002,age,23-Jährige,immigration,4036
2002,age,24-Jährige,emigration,2809
2002,age,24-Jährige,immigration,3896
2002,age,25-Jährige,emigration,2862
2002,age,25-Jährige,immigration,3814
2002,age,26-Jährige,emigration,3003
2002,age,26-Jährige,immigration,3593
2002,age,27-Jährige,emigration,2955
2002,age,27-Jährige,immigration,3488
2002,age,28-Jährige,emigration,3065
2002,age,28-Jährige,immigration,3354
2002,age,29-Jährige,emigration,2835
2002,age,29-Jährige,immigration,3080
2002,age,3-Jährige,emigration,1561
2002,age,3-Jährige,immigration,2534
2002,age,30-Jährige,emigration,3000
2002,age,30-Jährige,immigration,3309
2002,age,31-Jährige,emigration,3160
2002,age,31-Jährige,immigration,3168
2002,age,32-Jährige,emigration,3034
2002,age,32-Jährige,immigration,3157
2002,age,33-Jährige,emigration,2969
2002,age,33-Jährige,immigration,3222
2002,age,34-Jährige,emigration,3119
2002,age,34-Jährige,immigration,3214
2002,age,35-Jährige,emigration,3234
2002,age,35-Jährige,immigration,3429
2002,age,36-Jährige,emigration,3136
2002,age,36-Jährige,immigration,3372
2002,age,37-Jährige,emigration,2929
2002,age,37-Jährige,immigration,3263
2002,age,38-Jährige,emigration,2920
2002,age,38-Jährige,immigration,3392
2002,age,39-Jährige,emigration,2626
2002,age,39-Jährige,immigration,3269
2002,age,4-Jährige,emigration,1478
2002,age,4-Jährige,immigration,2441
2002,age,40-Jährige,emigration,2402
2002,age,40-Jährige,immigration,3284
2002,age,41-Jährige,emigration,2256
2002,age,41-Jährige,immigration,3282
2002,age,42-Jährige,emigration,2046
2002,age,42-Jährige,immigration,3180
2002,age,43-Jährige,emigration,1953
2002,age,43-Jährige,immigration,3092
2002,age,44-Jährige,emigration,1777
2002,age,44-Jährige,immigration,2833
2002,age,45-Jährige,emigration,1810
2002,age,45-Jährige,immigration,2641
2002,age,46-Jährige,emigration,1571
2002,age,46-Jährige,immigration,2579
2002,age,47-Jährige,emigration,1426
2002,age,47-Jährige,immigration,2502
2002,age,48-Jährige,emigration,1314
2002,age,48-Jährige,immigration,2394
2002,age,49-Jährige,emigration,1254
2002,age,49-Jährige,immigration,2296
2002,age,5-Jährige,emigration,1501
2002,age,5-Jährige,immigration,2456
2002,age,50-Jährige,emigration,1209
2002,age,50-Jährige,immigration,2210
2002,age,51-Jährige,emigration,1163
2002,age,51-Jährige,immigration,2198
2002,age,52-Jährige,emigration,1163
2002,age,52-Jährige,immigration,2112
2002,age,53-Jährige,emigration,1063
2002,age,53-Jährige,immigration,2041
2002,age,54-Jährige,emigration,854
2002,age,54-Jährige,immigration,1632
2002,age,55-Jährige,emigration,863
2002,age,55-Jährige,immigration,1484
2002,age,56-Jährige,emigration,734
2002,age,56-Jährige,immigration,1137
2002,age,57-Jährige,emigration,584
2002,age,57-Jährige,immigration,894
2002,age,58-Jährige,emigration,750
2002,age,58-Jährige,immigration,968
2002,age,59-Jährige,emigration,754
2002,age,59-Jährige,immigration,1018
2002,age,6-Jährige,emigration,1750
2002,age,6-Jährige,immigration,2380
2002,age,60-Jährige,emigration,834
2002,age,60-Jährige,immigration,1198
2002,age,61-Jährige,emigration,896
2002,age,61-Jährige,immigration,1413
2002,age,62-Jährige,emigration,852
2002,age,62-Jährige,immigration,1420
2002,age,63-Jährige,emigration,767
2002,age,63-Jährige,immigration,1361
2002,age,64-Jährige,emigration,671
2002,age,64-Jährige,immigration,1339
2002,age,65-Jährige,emigration,615
2002,age,65-Jährige,immigration,1338
2002,age,66-Jährige,emigration,453
2002,age,66-Jährige,immigration,1015
2002,age,67-Jährige,emigration,412
2002,age,67-Jährige,immigration,926
2002,age,68-Jährige,emigration,346
2002,age,68-Jährige,immigration,688
2002,age,69-Jährige,emigration,262
2002,age,69-Jährige,immigration,537
2002,age,7-Jährige,emigration,1572
2002,age,7-Jährige,immigration,2284
2002,age,70-Jährige,emigration,206
2002,age,70-Jährige,immigration,535
2002,age,71-Jährige,emigration,224
2002,age,71-Jährige,immigration,519
2002,age,72-Jährige,emigration,211
2002,age,72-Jährige,immigration,572
2002,age,73-Jährige,emigration,223
2002,age,73-Jährige,immigration,494
2002,age,74-Jährige,emigration,198
2002,age,74-Jährige,immigration,518
2002,age,75-Jährige,emigration,179
2002,age,75-Jährige,immigration,445
2002,age,76-Jährige,emigration,160
2002,age,76-Jährige,immigration,395
2002,age,77-Jährige,emigration,150
2002,age,77-Jährige,immigration,340
2002,age,78-Jährige,emigration,140
2002,age,78-Jährige,immigration,288
2002,age,79-Jährige,emigration,117
2002,age,79-Jährige,immigration,268
2002,age,8-Jährige,emigration,1166
2002,age,8-Jährige,immigration,2334
2002,age,80-Jährige,emigration,115
2002,age,80-Jährige,immigration,171
2002,age,81-Jährige,emigration,116
2002,age,81-Jährige,immigration,152
2002,age,82-Jährige,emigration,105
2002,age,82-Jährige,immigration,138
2002,age,83-Jährige,emigration,72
2002,age,83-Jährige,immigration,109
2002,age,84-Jährige,emigration,71
2002,age,84-Jährige,immigration,97
2002,age,85-Jährige,emigration,51
2002,age,85-Jährige,immigration,63
2002,age,86-Jährige,emigration,52
2002,age,86-Jährige,immigration,59
2002,age,87-Jährige,emigration,56
2002,age,87-Jährige,immigration,65
2002,age,88-Jährige,emigration,56
2002,age,88-Jährige,immigration,66
2002,age,89-Jährige,emigration,73
2002,age,89-Jährige,immigration,49
2002,age,9-Jährige,emigration,1068
2002,age,9-Jährige,immigration,2252
2002,age,90-Jährige,emigration,52
2002,age,90-Jährige,immigration,39
2002,age,91-Jährige,emigration,38
2002,age,91-Jährige,immigration,53
2002,age,92-Jährige,emigration,31
2002,age,92-Jährige,immigration,28
